Lote,ID,RequerimientoCompleto,Estado,EvidenciaTecnica,EvidenciaPlayMode,ArchivosRelacionados,FaltanteExacto,Prioridad,ProximoPaso
"1","RQF28-PRICE","El sistema debera permitir que el jugador modifique el precio de venta de cada producto individual mediante una UI interactiva; mostrar nombre, precio ideal, precio actual, limite minimo $0.00, maximo 300% y confirmacion.","NO_LISTO","PricingAppUIController.ConfirmPrice; ProductPricingSystem.TrySetCurrentPrice; bootstrap de pricing.","No ejecutada; solo revision estatica y batchmode.","PricingAppUIController.cs; ProductPricingSystem.cs; EntrepreneurTreeUIBootstrap.cs","Falta Play Mode: editar precio ideal/alto/invalido/$0.00 y confirmar persistencia y efecto real.","Critica","Ejecutar checklist D en Play Mode."
"1","RQF25-PRICE","El sistema debe calcular la probabilidad de compra de un producto en funcion del precio establecido por el jugador.","NO_LISTO","Customer llama ProductPurchaseProbabilityAdapter.ShouldCustomerBuy; adapter consulta ProductPricingSystem.","No ejecutada; solo revision estatica y batchmode.","Customer.cs; ProductPurchaseProbabilityAdapter.cs; ProductPricingSystem.cs","Falta observar clientes reales comprando/rechazando con precio ideal, alto y bajo.","Critica","Ejecutar prueba de clientes con tres precios."
"1","RQF26-PRICE","Cuando el precio actual es menor que el precio ideal, el sistema debe calcular la probabilidad de que el cliente compre un producto adicional.","NO_LISTO","ProductPricingSystem.GetExtraPurchaseProbabilityForPrice; Customer llama ShouldCustomerBuyExtra y valida stock.","No ejecutada; solo revision estatica y batchmode.","Customer.cs; CustomerCart.cs; ProductInventorySystem.cs; ProductPricingSystem.cs","Falta probar compra extra con stock suficiente y agotado, sin productos fantasma.","Critica","Ejecutar Play Mode con producto barato y stock controlado."
"1","RQF27-PRICE","El sistema debe mostrar en la interfaz de precios tanto la probabilidad de compra como la probabilidad de compra extra.","NO_LISTO","PricingAppUIController.RefreshRow muestra porcentajes calculados.","No ejecutada; solo revision estatica y batchmode.","PricingAppUIController.cs","Falta validar refresco visual inmediato y legibilidad en Play Mode.","Alta","Abrir app Precios y cambiar valores en vivo."
"1","RQF28-PRICEZERO","El sistema debe permitir vender productos a precio cero $0.00 como estrategia comercial.","NO_LISTO","ProductPricingSystem permite 0; UI soporta precio cero; caja usa precio real.","No ejecutada; solo revision estatica y batchmode.","ProductPricingSystem.cs; PricingAppUIController.cs; CashDesk.cs; StatsDatabase.cs","Falta venta real a $0.00 y comprobar balance/reporte sin NaN.","Critica","Ejecutar venta a $0.00 en caja."
"1","RQF35/RQNF5","El sistema debera alertar cuando un cliente lleve 7 segundos esperando en caja; si no es atendido abandonara compra y productos regresaran al inventario.","NO_LISTO","Customer.NotifyCheckoutWaitingForService; CheckoutWaitTimer; CashDesk.TryCancelWaitingCustomer.","No ejecutada; solo revision estatica y batchmode.","Customer.cs; CashDesk.cs; CustomerCart.cs; StatsDatabase.cs","Faltan casos Play Mode de abandono, atencion manual y cajero automatico.","Critica","Ejecutar checklist E."
"2","RQF25-EMP","El sistema debera permitir gestionar empleados desde la app Empleados en la computadora: consultar desbloqueados, contratar disponibles y asignar rol operativo.","NO_LISTO","EmployeeAppUIController y EntrepreneurEmployeeSystem.TryHireEmployee.","No ejecutada; solo revision estatica y batchmode.","EmployeeAppUIController.cs; EntrepreneurEmployeeSystem.cs; EntrepreneurTreeUIBootstrap.cs","Falta contratar real con/sin fondos y validar bloqueado/duplicado/refresco.","Critica","Ejecutar checklist F."
"2","RQF26-EMP","Los empleados asignados como cajeros deberan atender automaticamente clientes en cajas; tiempo 1-12s, 0.5s/producto, +1.5s tarjeta, +2.5s efectivo.","NO_LISTO","EmployeeCashierCoordinator; CashDesk.TryStartAutomatedCheckout; CashDesk.AutomatedCheckout.","No ejecutada; solo revision estatica y batchmode.","EmployeeCashierCoordinator.cs; CashDesk.cs; Customer.cs; StatsDatabase.cs","Falta cliente real, metodo de pago, balance unico y conflicto con jugador.","Critica","Ejecutar prueba de cajero automatico completa."
"2","RQF9","El jugador debe poder asignar roles a empleados desbloqueados: cajero o surtidor, desde la computadora, con descripcion clara.","NO_LISTO","EmployeeAppUIController.OnRoleClicked; EntrepreneurEmployeeSystem.TryAssignRole; SaveToJSON/LoadFromJSON.","No ejecutada; solo revision estatica y batchmode.","EmployeeAppUIController.cs; EntrepreneurEmployeeSystem.cs; EntrepreneurTreeSaveIntegration.cs","Falta cambiar rol y guardar/cargar en Play Mode.","Alta","Ejecutar checklist F y H."
"2","RQF21","El sistema debera guardar automaticamente la partida al finalizar cada dia conservando dinero, dia, inventario, productos colocados, precios, expansiones, empleados, roles, arbol y seguridad.","NO_LISTO","UIGame.LeaveToNext llama SaveGameSystem.Save; integraciones usan dataSaveEvent.","No ejecutada; solo revision estatica y batchmode.","UIGame.cs; SaveGameSystem.cs; EntrepreneurTreeSaveIntegration.cs; SupermarketExpansionSystem.cs; ShelfProductSlotSystem.cs","Falta finalizar dia real y revisar save con datos de subsistemas.","Critica","Ejecutar cierre de dia y validar archivos."
"2","RQNF3","El guardado automatico al finalizar cada dia debe conservar correctamente el progreso y restaurarlo al cargar partida.","NO_LISTO","SaveGameSystem.Load; OnSceneLoaded; dataLoadEvent; integraciones complementarias.","No ejecutada; solo revision estatica y batchmode.","SaveGameSystem.cs; EntrepreneurTreeSaveIntegration.cs; ProductPricingSystem.cs; SupermarketExpansionSystem.cs; ShelfProductSlotSystem.cs","Falta ciclo guardar, reiniciar/cargar y comparar estado.","Critica","Ejecutar checklist H."
"3","RQF27-EMP","Los surtidores deberan abastecer automaticamente muebles con productos del almacen y habilitar espacios de asignacion de producto por espacio.","NO_LISTO","EmployeeRestockCoordinator; ShelfProductSlotSystem.AssignProductToSlot; NeedsRestock.","No ejecutada; solo revision estatica y batchmode.","EmployeeRestockCoordinator.cs; ShelfProductSlotSystem.cs; ProductInventorySystem.cs","Falta asignar slot y observar surtidor real reponiendo.","Critica","Ejecutar checklist G."
"3","RQNF6","El sistema debera verificar que los productos sean colocados en el mobiliario correcto segun su categoria.","NO_LISTO","ShelfProductSlotSystem.CanPlaceProductOnFurniture centraliza validacion.","No ejecutada; solo revision estatica y batchmode.","ShelfProductSlotSystem.cs; ProductInventorySystem.cs; PlacementObject.cs; PlacementSystem.cs","Falta probar combinaciones validas e invalidas por jugador y surtidor.","Alta","Ejecutar pruebas de mobiliario."
"3","RQF29","El sistema debera procesar ventas; al completarse venta, productos se descuentan del inventario, dinero se agrega al balance y agotados notifican.","NO_LISTO","CashDesk.OnBillCustomer; StatsDatabase.RegisterSoldProduct; quejas por producto no disponible.","No ejecutada; solo revision estatica y batchmode.","CashDesk.cs; CustomerCart.cs; ProductInventorySystem.cs; StatsDatabase.cs","Falta venta manual/automatica con stock bajo y confirmar no duplicados.","Critica","Ejecutar venta controlada."
"3","RQF34","El sistema debera generar reporte diario con ventas, gastos, salarios, robos, renta, luz, ganancias netas, agotados, clientes perdidos y desempeno.","NO_LISTO","StatsDatabase arma resumen ampliado; UIStats lo muestra.","No ejecutada; solo revision estatica y batchmode.","StatsDatabase.cs; UIStats.cs; UIGame.cs","Falta cerrar dia con actividad real y validar cada campo.","Critica","Ejecutar checklist J."
"3","RQNF4","El sistema debera evitar perdida de informacion durante guardado automatico; si ocurre error debe notificar y conservar ultima version valida.","NO_LISTO","SaveGameSystem.WriteAtomic; tmp; bak; fallback backup; slots con backup.","No ejecutada; solo revision estatica y batchmode.","SaveGameSystem.cs; ShelfProductSlotSystem.cs; EntrepreneurTreeSaveIntegration.cs","Falta simular corrupcion/fallo y confirmar recuperacion.","Critica","Ejecutar prueba de backup."
"4","RQF13","El sistema debera generar ladrones dentro del supermercado; aparicion inicial 1 por cada 25 clientes y visuales identificables.","NO_LISTO","ShoplifterSystem.ShouldBecomeThief; initialOneInNChance; ShoplifterAgent.ApplyVisualMarker.","No ejecutada; solo revision estatica y batchmode.","ShoplifterSystem.cs; ShoplifterAgent.cs; Customer.cs","Falta observar aparicion real y marcador visual.","Critica","Forzar/observar 25 clientes."
"4","RQF14","Cada ladron debe tener valor de robo objetivo; seleccionara productos disponibles y priorizara mayor valor cuando existan.","NO_LISTO","GetTargetStealValue; RobberyInventoryBridge.TryReserveStolenItems ordena alto valor para Expert/Special.","No ejecutada; solo revision estatica y batchmode.","ShoplifterSystem.cs; ShoplifterAgent.cs; RobberyInventoryBridge.cs","Falta comprobar productos reales y valor robado.","Critica","Forzar comun y especial."
"4","RQF15","El sistema debera incluir tres tipos de ladrones con comportamientos diferenciados: comun, sospechoso y especial.","NO_LISTO","Enum incluye Common, Suspicious, Special; diferencias por valor/tipo/velocidad.","No ejecutada; solo revision estatica y batchmode.","ShoplifterAgent.cs; ShoplifterSystem.cs; RobberyInventoryBridge.cs","Falta probar comportamiento real de cada tipo.","Alta","Forzar tipos desde admin/debug."
"4","RQF16","La dificultad de robos debera aumentar con expansiones de venta hasta maximo 6.5% del total de clientes diarios.","NO_LISTO","CalculateScaledChance usa GetPurchasedSalesExpansionCount y maxThiefChance=0.065.","No ejecutada; solo revision estatica y batchmode.","ShoplifterSystem.cs; SupermarketExpansionSystem.cs","Falta comprobar chance sin/con expansiones y tope 6.5%.","Alta","Ejecutar prueba con expansiones."
"4","RQF17","El jugador debera interceptar manualmente a un ladron; al detenerlo recupera productos y recibe puntos; si escapa se pierde producto y notifica valor.","NO_LISTO","ShoplifterInteractable; ShoplifterAgent.TryManualCapture; NotifyManualArrest; NotifyEscaped.","No ejecutada; solo revision estatica y batchmode.","ShoplifterInteractable.cs; ShoplifterAgent.cs; ShoplifterSystem.cs; RobberyInventoryBridge.cs","Falta captura y escape real sin duplicar recompensa/recuperacion.","Critica","Ejecutar checklist I."
"5","RQF10","El jugador debe controlar manualmente la seguridad cuando no tenga niveles de seguridad desbloqueados.","NO_LISTO","Captura manual no consulta nivel de seguridad.","No ejecutada; solo revision estatica y batchmode.","ShoplifterInteractable.cs; ShoplifterAgent.cs; ShoplifterSystem.cs","Falta captura con security level 0.","Critica","Probar seguridad 0."
"5","RQF11","El sistema permitira desbloquear 3 niveles de seguridad desde el arbol: 33%, 66% y 99% de arresto automatico.","NO_LISTO","security_1/2/3 definidos; GetAutomaticArrestChance devuelve 0/0.33/0.66/0.99.","No ejecutada; solo revision estatica y batchmode.","EntrepreneurTreeDefinition.cs; EntrepreneurTreeSecurityAdapter.cs; EntrepreneurTreeManager.cs","Falta desbloquear/persistir niveles en Play Mode.","Critica","Probar arbol y save."
"5","RQF12","El jugador necesitara desbloquear habilidades previas para niveles de seguridad y recibira notificacion si faltan requisitos.","NO_LISTO","security_1 requiere employee_7; security_2 employee_8; security_3 employee_14; CanUnlockNode valida.","No ejecutada; solo revision estatica y batchmode.","EntrepreneurTreeDefinition.cs; EntrepreneurTreeManager.cs; UpgradesUIController.cs","Falta probar mensaje y puntos intactos.","Alta","Intentar unlock sin prerequisito."
"5","RQF18","El sistema permitira desbloquear mejoras de seguridad desde el arbol para automatizar captura: camaras 33%, guardias 66%, alarmas 99%.","NO_LISTO","ShoplifterSystem.TryAutomaticArrest consulta adapter real y hace roll.","No ejecutada; solo revision estatica y batchmode.","ShoplifterSystem.cs; EntrepreneurTreeSecurityAdapter.cs; StatsDatabase.cs","Falta forzar robos con seguridad 0/1/2/3.","Critica","Ejecutar checklist I."
"5","RQF19","El sistema debera mostrar alerta visual y sonora cuando ocurra evento de ladrones.","NO_LISTO","ShowShoplifterNotification; UIGame.AddNotification; AudioSystem.Play2D con null safety.","No ejecutada; solo revision estatica y batchmode.","ShoplifterSystem.cs; UIGame.cs; AudioSystem.cs","Falta comprobar alerta visual y audio real.","Alta","Forzar eventos de ladron."
"5","RQF20","El sistema debera registrar robos en reporte diario.","NO_LISTO","StatsDatabase.RegisterThief*; BuildDailyRobberySummary; UIStats.","No ejecutada; solo revision estatica y batchmode.","StatsDatabase.cs; UIStats.cs; ShoplifterSystem.cs","Falta reporte con robos reales.","Alta","Generar eventos y cerrar dia."
"6","RQF1","El jugador debe acceder a la computadora y ver catalogo, desactivando productos no comprables por nivel, desbloqueo o fondos.","NO_LISTO","UIShopDesktop.Interact; EntrepreneurTreeUIBootstrap.EnsureOrdersTab; OrdersAppUIController.RefreshRow.","No ejecutada; solo revision estatica y batchmode.","UIShopDesktop.cs; EntrepreneurTreeUIBootstrap.cs; OrdersAppUIController.cs; UIShopItemProduct.cs","Falta abrir computadora real y comprobar catalogo/bloqueos/no duplicados.","Critica","Ejecutar checklist A."
"6","RQF2","El jugador solo podra realizar pedidos si tiene dinero suficiente; si no, se muestra mensaje claro con monto faltante.","NO_LISTO","OrdersAppUIController y DeliverySystem.Purchase validan fondos y faltante USD.","No ejecutada; solo revision estatica y batchmode.","OrdersAppUIController.cs; DeliverySystem.cs; StoreDatabase.cs","Falta compra con/sin fondos real y balance no negativo.","Critica","Ejecutar checklist A."
"6","RQF3","El jugador debe acceder al Arbol del Emprendedor desde la computadora; debe mostrar nodos graficos, costos y tipos.","NO_LISTO","UpgradesUIController.BuildTree; NodeUI; ConnectionLineUI; listeners idempotentes.","No ejecutada; solo revision estatica y batchmode.","EntrepreneurTreeUIBootstrap.cs; UpgradesUIController.cs; NodeUI.cs; ConnectionLineUI.cs","Falta abrir arbol y validar nodos/lineas/costos/tipos/estados.","Critica","Ejecutar checklist B."
"6","RQF4","El jugador solo podra desbloquear habilidades si cumple requisitos previos; si no, se notifica que falta.","NO_LISTO","EntrepreneurTreeManager.CanUnlockNode; TryUnlockNode; UI de requisitos.","No ejecutada; solo revision estatica y batchmode.","EntrepreneurTreeManager.cs; EntrepreneurTreeDefinition.cs; UpgradesUIController.cs","Falta unlock fallido/exitoso con puntos intactos/refresco.","Alta","Ejecutar checklist B."
