# ShopMaster Entrepreneur Tree exact audit - design
2026-06-04 01:08:48 Opening scene: Assets/StoreSimulator/Scenes/Game.unity
2026-06-04 01:09:04 PASS: Computer interactable exists.
2026-06-04 01:09:04 PASS: Computer opens in Play Mode.
2026-06-04 01:09:04 PASS: UpgradesUIController exists.
2026-06-04 01:09:04 PASS: Computer tab opens panel: Expandir
2026-06-04 01:09:04 PASS: Open Entrepreneur Tree button exists.
2026-06-04 01:09:04 PASS: Tree root is visible.
2026-06-04 01:09:04 PASS: Header title exists.
2026-06-04 01:09:04 PASS: Points counter exists.
2026-06-04 01:09:04 PASS: Detail panel exists.
2026-06-04 01:09:04 PASS: ScrollRect exists with viewport and content.
2026-06-04 01:09:04 PASS: Rendered nodes exist.
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_9
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_9
2026-06-04 01:09:04 PASS: Node has non-empty text: product_basic_1
2026-06-04 01:09:04 PASS: Node minimum size valid: product_basic_1
2026-06-04 01:09:04 PASS: Node has non-empty text: product_basic_2
2026-06-04 01:09:04 PASS: Node minimum size valid: product_basic_2
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_14
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_14
2026-06-04 01:09:04 PASS: Node has non-empty text: product_hygiene
2026-06-04 01:09:04 PASS: Node minimum size valid: product_hygiene
2026-06-04 01:09:04 PASS: Node has non-empty text: security_1
2026-06-04 01:09:04 PASS: Node minimum size valid: security_1
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_1
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_1
2026-06-04 01:09:04 PASS: Node has non-empty text: product_sodas
2026-06-04 01:09:04 PASS: Node minimum size valid: product_sodas
2026-06-04 01:09:04 PASS: Node has non-empty text: product_luxury_1
2026-06-04 01:09:04 PASS: Node minimum size valid: product_luxury_1
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_5
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_5
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_6
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_6
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_10
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_10
2026-06-04 01:09:04 PASS: Node has non-empty text: product_fresh_1
2026-06-04 01:09:04 PASS: Node minimum size valid: product_fresh_1
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_7
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_7
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_12
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_12
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_15
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_15
2026-06-04 01:09:04 PASS: Node has non-empty text: upgrade_charismatic
2026-06-04 01:09:04 PASS: Node minimum size valid: upgrade_charismatic
2026-06-04 01:09:04 PASS: Node has non-empty text: product_spices_1
2026-06-04 01:09:04 PASS: Node minimum size valid: product_spices_1
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_17
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_17
2026-06-04 01:09:04 PASS: Node has non-empty text: product_fresh_2
2026-06-04 01:09:04 PASS: Node minimum size valid: product_fresh_2
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_8
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_8
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_11
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_11
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_13
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_13
2026-06-04 01:09:04 PASS: Node has non-empty text: upgrade_caffeine
2026-06-04 01:09:04 PASS: Node minimum size valid: upgrade_caffeine
2026-06-04 01:09:04 PASS: Node has non-empty text: product_protein_1
2026-06-04 01:09:04 PASS: Node minimum size valid: product_protein_1
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_2
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_2
2026-06-04 01:09:04 PASS: Node has non-empty text: product_appliances_1
2026-06-04 01:09:04 PASS: Node minimum size valid: product_appliances_1
2026-06-04 01:09:04 PASS: Node has non-empty text: product_basic_3
2026-06-04 01:09:04 PASS: Node minimum size valid: product_basic_3
2026-06-04 01:09:04 PASS: Node has non-empty text: security_2
2026-06-04 01:09:04 PASS: Node minimum size valid: security_2
2026-06-04 01:09:04 PASS: Node has non-empty text: employee_3
2026-06-04 01:09:04 PASS: Node minimum size valid: employee_3
2026-06-04 01:09:04 PASS: Node has non-empty text: product_dairy_3
2026-06-04 01:09:04 PASS: Node minimum size valid: product_dairy_3
2026-06-04 01:09:04 PASS: Node has non-empty text: product_dairy_2
2026-06-04 01:09:04 PASS: Node minimum size valid: product_dairy_2
2026-06-04 01:09:05 PASS: Node has non-empty text: employee_16
2026-06-04 01:09:05 PASS: Node minimum size valid: employee_16
2026-06-04 01:09:05 PASS: Node has non-empty text: employee_18
2026-06-04 01:09:05 PASS: Node minimum size valid: employee_18
2026-06-04 01:09:05 PASS: Node has non-empty text: product_dairy_1
2026-06-04 01:09:05 PASS: Node minimum size valid: product_dairy_1
2026-06-04 01:09:05 PASS: Node has non-empty text: employee_4
2026-06-04 01:09:05 PASS: Node minimum size valid: employee_4
2026-06-04 01:09:05 PASS: Node has non-empty text: security_3
2026-06-04 01:09:05 PASS: Node minimum size valid: security_3
2026-06-04 01:09:05 Audit finished. Failures=0
